,subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business,max_val,max_cat,count
2133,homes,0.998,0.000,0.000,0.000,0.000,0.494,0.000,0.000,0.000,0.000,0.001,0.000,0.015,0.000,0.000,0.000,0.122,0.000,0.087,0.000,0.998,housing,671
4900,wind turbines,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.001,0.194,0.998,0.001,0.074,0.417,0.000,0.000,0.000,0.001,0.000,0.005,0.422,0.998,energy,8
4489,trains,0.000,0.000,0.000,0.000,0.000,0.484,0.997,0.998,0.006,0.003,0.000,0.910,0.528,0.000,0.000,0.000,0.009,0.000,0.009,0.061,0.998,transit,24
4644,utility poles,0.000,0.000,0.000,0.000,0.000,0.222,0.000,0.003,0.000,0.900,0.001,0.998,0.691,0.000,0.000,0.001,0.005,0.000,0.005,0.063,0.998,infrastructure,20
3889,sewer grates,0.000,0.000,0.000,0.000,0.000,0.206,0.001,0.041,0.304,0.006,0.001,0.998,0.914,0.000,0.000,0.001,0.004,0.000,0.008,0.750,0.998,infrastructure,3
690,buses,0.000,0.000,0.000,0.000,0.000,0.003,0.727,0.998,0.003,0.002,0.001,0.832,0.615,0.000,0.000,0.001,0.038,0.000,0.009,0.187,0.998,transit,23
4189,street lighting poles,0.000,0.000,0.000,0.000,0.000,0.007,0.001,0.001,0.001,0.446,0.001,0.998,0.924,0.000,0.000,0.002,0.010,0.000,0.026,0.001,0.998,infrastructure,5
1473,elector,0.007,0.001,0.002,0.001,0.012,0.003,0.003,0.046,0.002,0.998,0.007,0.076,0.175,0.031,0.001,0.865,0.041,0.006,0.239,0.009,0.998,energy,3
2524,light rail vehicles,0.000,0.000,0.000,0.000,0.000,0.005,0.007,0.998,0.013,0.167,0.001,0.964,0.740,0.001,0.000,0.008,0.025,0.000,0.177,0.002,0.998,transit,7
2162,housing,0.998,0.001,0.000,0.007,0.000,0.016,0.000,0.000,0.001,0.000,0.000,0.001,0.026,0.000,0.000,0.010,0.878,0.000,0.071,0.000,0.998,housing,671
